,ID,Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling
126481,126482,Male,57,Returning,Business,Economy,1849,0,0.0,3,3,3,3,3,2,3,4,3,3,4,3,3,3
12424,12425,Male,58,Returning,Personal,Economy,190,21,22.0,4,4,2,4,3,1,5,2,5,5,4,4,5,3
128951,128952,Male,40,First-time,Business,Business,236,0,5.0,5,5,5,5,2,4,4,4,4,4,5,5,4,4
2489,2490,Male,30,Returning,Business,Business,1379,30,32.0,5,5,1,1,5,3,1,5,1,1,3,1,1,3
44988,44989,Male,37,Returning,Business,Economy,359,4,0.0,3,3,3,5,3,3,5,2,5,5,2,5,5,4
41150,41151,Female,8,Returning,Personal,Economy,140,0,6.0,0,4,5,4,1,5,1,3,1,1,5,4,1,5
30448,30449,Female,41,Returning,Business,Business,991,0,0.0,5,5,3,2,5,4,4,4,5,3,4,5,4,4
92573,92574,Male,35,Returning,Business,Economy Plus,1947,1,0.0,4,4,2,3,4,3,3,1,3,3,3,3,3,2
110202,110203,Female,39,Returning,Business,Business,1756,7,0.0,3,3,3,4,3,5,5,5,3,2,5,3,5,5
51470,51471,Female,43,First-time,Business,Economy Plus,89,0,0.0,3,3,5,3,2,3,5,2,4,4,5,3,4,5
3583,3584,Female,48,Returning,Business,Business,1569,0,2.0,1,1,1,3,1,3,4,3,1,5,3,3,3,3
44636,44637,Female,33,Returning,Business,Economy,173,25,41.0,4,4,4,5,4,4,5,4,5,5,4,5,5,1
59151,59152,Male,30,First-time,Business,Business,1101,8,0.0,3,3,3,3,4,3,2,2,1,1,4,4,1,4
65944,65945,Male,9,First-time,Business,Business,1372,6,0.0,0,0,5,0,2,4,3,2,3,3,4,0,3,4
76256,76257,Male,39,Returning,Business,Economy Plus,1399,0,2.0,3,3,2,1,3,2,1,3,1,1,4,1,1,3
10892,10893,Male,39,Returning,Business,Business,224,3,3.0,1,1,3,5,1,5,4,5,5,4,5,1,5,5
19114,19115,Female,37,First-time,Business,Economy,323,0,8.0,3,1,4,1,3,1,5,3,5,5,3,1,5,3
82516,82517,Male,27,First-time,Business,Economy,1749,22,49.0,0,0,3,1,4,1,4,1,4,4,3,1,4,2
8744,8745,Male,51,Returning,Personal,Economy Plus,181,0,11.0,5,2,4,2,2,1,2,1,5,5,5,2,5,4
19403,19404,Male,15,Returning,Personal,Economy Plus,261,0,0.0,5,3,4,3,2,3,4,1,4,4,5,3,4,4
